Fecha,retorno_portafolio_mensual_%
2022-01-01,2.8871
2022-02-01,-5.5019
2022-03-01,6.7321
2022-04-01,-6.3615
2022-05-01,3.5983
2022-06-01,-1.4339
2022-07-01,4.9787
2022-08-01,5.4547
2022-09-01,-10.8343
2022-10-01,3.4113
2022-11-01,-0.0228
2022-12-01,1.4518
