Fecha,CMPC.SN,COPEC.SN,CENCOSUD.SN
2022-01-01,2.9202,2.0346,3.5018
2022-02-01,-10.1585,-7.7381,-0.3322
2022-03-01,10.3454,4.8387,5.4422
2022-04-01,-12.766,-3.5384,-3.6754
2022-05-01,12.0415,4.3092,-3.2674
2022-06-01,7.0927,3.5168,-11.542
2022-07-01,0.3934,9.0103,5.3938
2022-08-01,11.0434,4.7561,1.7872
2022-09-01,-13.3471,-19.7879,-2.2346
2022-10-01,1.6224,4.8507,3.6735
2022-11-01,-1.4696,-4.2756,4.252
2022-12-01,-4.0015,1.6909,5.3625
