Fecha,CMPC.SN,COPEC.SN,CENCOSUD.SN
2021-12-01,1415.4395751953125,6465.57470703125,1186.4556884765625
2022-01-01,1456.7728271484375,6597.12548828125,1228.0025634765625
2022-02-01,1308.7860107421875,6086.63232421875,1223.9227294921875
2022-03-01,1444.1845703125,6381.14697265625,1290.53076171875
2022-04-01,1259.820556640625,6155.353515625,1243.0989990234375
2022-05-01,1411.5224609375,6420.59716796875,1202.4820556640625
2022-06-01,1511.6373291015625,6646.3994140625,1063.6920166015625
2022-07-01,1517.584716796875,7245.26123046875,1121.06591796875
2022-08-01,1685.177734375,7589.853515625,1141.10107421875
2022-09-01,1460.2559814453125,6087.9833984375,1115.6015625
2022-10-01,1483.9478759765625,6383.29150390625,1156.5828857421875
2022-11-01,1462.139404296875,6110.3671875,1205.7606201171875
2022-12-01,1403.6312255859375,6213.685546875,1270.419921875
